T/s	S(T)/ms-2
12.7	0.334299666
12.71	0.334036645
12.72	0.333774038
12.73	0.333511843
12.74	0.33325006
12.75	0.332988687
12.76	0.332727724
12.77	0.33246717
12.78	0.332207023
12.79	0.331947284
12.8	0.33168795
12.81	0.331429021
12.82	0.331170496
12.83	0.330912374
12.84	0.330654654
12.85	0.330397335
12.86	0.330140417
12.87	0.329883897
12.88	0.329627776
12.89	0.329372053
12.9	0.329116726
12.91	0.328861794
12.92	0.328607257
12.93	0.328353114
12.94	0.328099363
12.95	0.327846005
12.96	0.327593037
12.97	0.32734046
12.98	0.327088271
12.99	0.326836471
13	0.326585058
13.01	0.326334032
13.02	0.326083392
13.03	0.325833136
13.04	0.325583264
13.05	0.325333775
13.06	0.325084668
13.07	0.324835942
13.08	0.324587596
13.09	0.32433963
13.1	0.324092043
13.11	0.323844833
13.12	0.323598
13.13	0.323351543
13.14	0.323105461
13.15	0.322859754
13.16	0.322614419
13.17	0.322369458
13.18	0.322124868
13.19	0.321880649
13.2	0.3216368
13.21	0.32139332
13.22	0.321150209
13.23	0.320907465
13.24	0.320665088
13.25	0.320423076
13.26	0.32018143
13.27	0.319940148
13.28	0.319699229
13.29	0.319458673
13.3	0.319218478
13.31	0.318978645
13.32	0.318739171
13.33	0.318500057
13.34	0.318261301
13.35	0.318022903
13.36	0.317784862
13.37	0.317547177
13.38	0.317309848
13.39	0.317072872
13.4	0.316836251
13.41	0.316599982
13.42	0.316364066
13.43	0.3161285
13.44	0.315893286
13.45	0.315658421
13.46	0.315423905
13.47	0.315189737
13.48	0.314955917
13.49	0.314722443
13.5	0.314489316
13.51	0.314256533
13.52	0.314024095
13.53	0.313792
13.54	0.313560248
13.55	0.313328838
13.56	0.31309777
13.57	0.312867042
13.58	0.312636654
13.59	0.312406605
13.6	0.312176894
13.61	0.311947521
13.62	0.311718485
13.63	0.311489784
13.64	0.311261419
13.65	0.311033389
13.66	0.310805693
13.67	0.310578329
13.68	0.310351298
13.69	0.310124599
13.7	0.309898231
13.71	0.309672193
13.72	0.309446484
13.73	0.309221104
13.74	0.308996052
13.75	0.308771328
13.76	0.30854693
13.77	0.308322858
13.78	0.308099112
13.79	0.30787569
13.8	0.307652591
13.81	0.307429816
13.82	0.307207363
13.83	0.306985232
13.84	0.306763422
13.85	0.306541932
13.86	0.306320762
13.87	0.306099911
13.88	0.305879378
13.89	0.305659162
13.9	0.305439263
13.91	0.305219681
13.92	0.305000414
13.93	0.304781462
13.94	0.304562824
13.95	0.304344499
